Tiempo,Posicion,Velocidad
2.790000,-0.593417,3.416913
2.800000,-0.559035,3.457002
2.810000,-0.524323,3.483241
2.820000,-0.489414,3.496411
2.830000,-0.454435,3.497303
2.840000,-0.419506,3.486695
2.850000,-0.384737,3.465344
2.860000,-0.350233,3.433975
2.870000,-0.316089,3.393275
2.880000,-0.282396,3.343885
2.890000,-0.249238,3.286398
2.900000,-0.216693,3.221361
2.910000,-0.184834,3.149273
2.920000,-0.153730,3.070585
2.930000,-0.123443,2.985707
2.940000,-0.094035,2.895009
2.950000,-0.065562,2.798825
2.960000,-0.038076,2.697460
2.970000,-0.011629,2.591193
2.980000,0.013732,2.480284
2.990000,0.037962,2.364975
3.000000,0.061018,2.245503
3.010000,0.082859,2.122094
3.020000,0.103448,1.994976
3.030000,0.122747,1.864380
3.040000,0.140724,1.730541
3.050000,0.157348,1.593703
3.060000,0.172589,1.454123
3.070000,0.186422,1.312069
3.080000,0.198823,1.167822
3.090000,0.209772,1.021677
3.100000,0.219252,0.873943
3.110000,0.227247,0.724940
3.120000,0.233747,0.575002
3.130000,0.238745,0.424468
3.140000,0.242236,0.273688
3.150000,0.244219,0.123014
3.160000,0.244698,-0.027200
3.170000,0.243678,-0.176600
3.180000,0.241170,-0.324837
3.190000,0.237186,-0.471570
3.200000,0.231744,-0.616464
3.210000,0.224864,-0.759200
3.220000,0.216569,-0.899471
3.230000,0.206884,-1.036984
3.240000,0.195839,-1.171467
3.250000,0.183465,-1.302662
3.260000,0.169797,-1.430331
3.270000,0.154871,-1.554253
3.280000,0.138726,-1.674224
3.290000,0.121401,-1.790057
3.300000,0.102939,-1.901576
3.310000,0.083384,-2.008620
3.320000,0.062782,-2.111036
3.330000,0.041179,-2.208678
3.340000,0.018625,-2.301403
3.350000,-0.004832,-2.389069
3.360000,-0.029139,-2.471530
3.370000,-0.054245,-2.548635
3.380000,-0.080094,-2.620224
3.390000,-0.106630,-2.686121
3.400000,-0.133797,-2.746138
3.410000,-0.161533,-2.800067
3.420000,-0.189777,-2.847683
3.430000,-0.218464,-2.888737
3.440000,-0.247529,-2.922958
3.450000,-0.276900,-2.950056
3.460000,-0.306505,-2.969716
3.470000,-0.336268,-2.981607
3.480000,-0.366110,-2.985381
3.490000,-0.395948,-2.980676
3.500000,-0.425694,-2.967126
3.510000,-0.455259,-2.944361
3.520000,-0.484550,-2.912021
3.530000,-0.513467,-2.869758
3.540000,-0.541911,-2.817251
3.550000,-0.569777,-2.754215
3.560000,-0.596959,-2.680412
3.570000,-0.623348,-2.595661
3.580000,-0.648835,-2.499854
3.590000,-0.673309,-2.392964
3.600000,-0.696658,-2.275056
3.610000,-0.718774,-2.146302
3.620000,-0.739549,-2.006984
3.630000,-0.758879,-1.857502
3.640000,-0.776667,-1.698381
3.650000,-0.792817,-1.530269
3.660000,-0.807245,-1.353937
3.670000,-0.819871,-1.170276
3.680000,-0.830629,-0.980286
3.690000,-0.839460,-0.785065
3.700000,-0.846317,-0.585799
3.710000,-0.851166,-0.383739
3.720000,-0.853987,-0.180187
3.730000,-0.854769,0.023531
3.740000,-0.853520,0.226078
3.750000,-0.850256,0.426136
3.760000,-0.845010,0.622423
3.770000,-0.837824,0.813715
3.780000,-0.828756,0.998864
3.790000,-0.817871,1.176814
3.800000,-0.805247,1.346615
3.810000,-0.790969,1.507431
3.820000,-0.775130,1.658550
3.830000,-0.757832,1.799384
3.840000,-0.739179,1.929473
3.850000,-0.719280,2.048480
3.860000,-0.698247,2.156188
3.870000,-0.676194,2.252491
3.880000,-0.653235,2.337386
3.890000,-0.629484,2.410965
3.900000,-0.605053,2.473397
3.910000,-0.580052,2.524926
3.920000,-0.554590,2.565852
3.930000,-0.528769,2.596523
3.940000,-0.502692,2.617323
3.950000,-0.476454,2.628663
3.960000,-0.450149,2.630971
3.970000,-0.423864,2.624685
3.980000,-0.397682,2.610246
3.990000,-0.371684,2.588088
4.000000,-0.345945,2.558642
4.010000,-0.320535,2.522321
4.020000,-0.295520,2.479528
4.030000,-0.270964,2.430647
4.040000,-0.246926,2.376042
4.050000,-0.223461,2.316062
4.060000,-0.200622,2.251037
4.070000,-0.178456,2.181277
4.080000,-0.157011,2.107078
4.090000,-0.136329,2.028719
4.100000,-0.116450,1.946468
4.110000,-0.097411,1.860577
4.120000,-0.079249,1.771293
4.130000,-0.061996,1.678850
4.140000,-0.045682,1.583478
4.150000,-0.030336,1.485402
4.160000,-0.015982,1.384843
4.170000,-0.002646,1.282021
4.180000,0.009651,1.177154
4.190000,0.020891,1.070462
4.200000,0.031055,0.962163
4.210000,0.040129,0.852480
4.220000,0.048101,0.741634
4.230000,0.054959,0.629852
4.240000,0.060695,0.517359
4.250000,0.065304,0.404383
4.260000,0.068782,0.291153
4.270000,0.071127,0.177899
4.280000,0.072341,0.064849
4.290000,0.072426,-0.047769
4.300000,0.071388,-0.159728
4.310000,0.069234,-0.270805
4.320000,0.065975,-0.380779
4.330000,0.061623,-0.489436
4.340000,0.056192,-0.596562
4.350000,0.049698,-0.701953
4.360000,0.042159,-0.805407
4.370000,0.033597,-0.906730
4.380000,0.024032,-1.005732
4.390000,0.013490,-1.102231
4.400000,0.001997,-1.196049
4.410000,-0.010421,-1.287013
4.420000,-0.023734,-1.374954
4.430000,-0.037910,-1.459710
4.440000,-0.052917,-1.541117
4.450000,-0.068720,-1.619017
4.460000,-0.085285,-1.693250
4.470000,-0.102573,-1.763658
4.480000,-0.120545,-1.830080
4.490000,-0.139160,-1.892352
4.500000,-0.158377,-1.950310
4.510000,-0.178152,-2.003780
4.520000,-0.198437,-2.052588
4.530000,-0.219187,-2.096552
4.540000,-0.240352,-2.135483
4.550000,-0.261879,-2.169187
4.560000,-0.283717,-2.197465
4.570000,-0.305810,-2.220110
4.580000,-0.328100,-2.236915
4.590000,-0.350528,-2.247668
4.600000,-0.373032,-2.252155
4.610000,-0.395550,-2.250167
4.620000,-0.418014,-2.241499
4.630000,-0.440357,-2.225953
4.640000,-0.462509,-2.203346
4.650000,-0.484399,-2.173510
4.660000,-0.505955,-2.136299
4.670000,-0.527100,-2.091594
4.680000,-0.547761,-2.039308
4.690000,-0.567861,-1.979391
4.700000,-0.587324,-1.911836
4.710000,-0.606073,-1.836684
4.720000,-0.624032,-1.754029
4.730000,-0.641129,-1.664019
4.740000,-0.657289,-1.566867
4.750000,-0.672443,-1.462845
4.760000,-0.686524,-1.352292
4.770000,-0.699468,-1.235613
4.780000,-0.711217,-1.113276
4.790000,-0.721717,-0.985811
4.800000,-0.730918,-0.853809
4.810000,-0.738780,-0.717914
4.820000,-0.745266,-0.578817
4.830000,-0.750348,-0.437253
4.840000,-0.754005,-0.293985
4.850000,-0.756225,-0.149802
4.860000,-0.757001,-0.005504
4.870000,-0.756337,0.138105
4.880000,-0.754244,0.280229
4.890000,-0.750740,0.420090
4.900000,-0.745852,0.556936
4.910000,-0.739614,0.690055
4.920000,-0.732066,0.818776
4.930000,-0.723255,0.942481
4.940000,-0.713235,1.060611
4.950000,-0.702063,1.172666
4.960000,-0.689803,1.278214
4.970000,-0.676522,1.376886
4.980000,-0.662289,1.468384
4.990000,-0.647179,1.552473
5.000000,-0.631265,1.628983
5.010000,-0.614625,1.697808
5.020000,-0.597335,1.758895
5.030000,-0.579473,1.812247
5.040000,-0.561115,1.857916
5.050000,-0.542340,1.895995
5.060000,-0.523220,1.926617
5.070000,-0.503832,1.949947
5.080000,-0.484245,1.966176
5.090000,-0.464531,1.975520
5.100000,-0.444757,1.978212
5.110000,-0.424988,1.974497
5.120000,-0.405287,1.964633
5.130000,-0.385715,1.948880
5.140000,-0.366329,1.927504
5.150000,-0.347183,1.900772
5.160000,-0.328330,1.868949
5.170000,-0.309820,1.832296
5.180000,-0.291699,1.791069
5.190000,-0.274013,1.745522
5.200000,-0.256803,1.695900
5.210000,-0.240108,1.642441
5.220000,-0.223966,1.585381
5.230000,-0.208411,1.524944
5.240000,-0.193477,1.461352
5.250000,-0.179194,1.394819
5.260000,-0.165590,1.325556
5.270000,-0.152692,1.253765
5.280000,-0.140523,1.179649
5.290000,-0.129106,1.103403
5.300000,-0.118461,1.025220
5.310000,-0.108607,0.945293
5.320000,-0.099560,0.863808
5.330000,-0.091335,0.780953
5.340000,-0.083945,0.696913
5.350000,-0.077401,0.611870
5.360000,-0.071711,0.526009
5.370000,-0.066882,0.439509
5.380000,-0.062922,0.352552
5.390000,-0.059832,0.265316
5.400000,-0.057616,0.177980
5.410000,-0.056273,0.090721
5.420000,-0.055801,0.003715
5.430000,-0.056197,-0.082865
5.440000,-0.057456,-0.168847
5.450000,-0.059571,-0.254059
5.460000,-0.062534,-0.338333
5.470000,-0.066334,-0.421505
5.480000,-0.070960,-0.503409
5.490000,-0.076398,-0.583884
5.500000,-0.082632,-0.662772
5.510000,-0.089647,-0.739916
5.520000,-0.097424,-0.815162
5.530000,-0.105944,-0.888358
5.540000,-0.115184,-0.959354
5.550000,-0.125123,-1.028003
5.560000,-0.135736,-1.094158
5.570000,-0.146997,-1.157673
5.580000,-0.158880,-1.218406
5.590000,-0.171356,-1.276213
5.600000,-0.184394,-1.330951
5.610000,-0.197964,-1.382478
5.620000,-0.212032,-1.430651
5.630000,-0.226565,-1.475327
5.640000,-0.241527,-1.516363
5.650000,-0.256880,-1.553615
5.660000,-0.272586,-1.586942
5.670000,-0.288605,-1.616198
5.680000,-0.304896,-1.641243
5.690000,-0.321416,-1.661934
5.700000,-0.338120,-1.678132
5.710000,-0.354963,-1.689703
5.720000,-0.371898,-1.696513
5.730000,-0.388877,-1.698438
5.740000,-0.405850,-1.695360
5.750000,-0.422767,-1.687169
5.760000,-0.439576,-1.673768
5.770000,-0.456225,-1.655073
5.780000,-0.472660,-1.631017
5.790000,-0.488827,-1.601550
5.800000,-0.504672,-1.566643
5.810000,-0.520142,-1.526291
5.820000,-0.535180,-1.480516
5.830000,-0.549734,-1.429365
5.840000,-0.563750,-1.372920
